,anzahl,geschlecht,jahr,rang,vorname
248,12,m,2012,9,Leon
249,10,m,2012,10,Felix
250,10,m,2012,11,Jan
251,10,m,2012,12,Julian
252,10,m,2012,13,Max
253,9,m,2012,14,Emir
254,9,m,2012,15,Liam
255,8,m,2012,16,Adrian
256,8,m,2012,17,Anton
257,8,m,2012,18,Emilio
258,8,m,2012,19,Finn
259,8,m,2012,20,Moritz
260,8,m,2012,21,Nico
261,7,m,2012,22,Aaron
262,7,m,2012,23,David
263,7,m,2012,24,Florian
264,7,m,2012,25,Joel
265,7,m,2012,26,Leonard
266,7,m,2012,27,Malik
267,7,m,2012,28,Noel
268,7,m,2012,29,Simon
269,7,m,2012,30,Tim
270,21,m,2013,1,Noah
271,19,m,2013,2,Ben
272,18,m,2013,3,Jonas
273,18,m,2013,4,Leon
274,16,m,2013,5,Maximilian
275,15,m,2013,6,Paul
276,14,m,2013,7,Elias
277,13,m,2013,8,Finn
278,13,m,2013,9,Jan
279,13,m,2013,10,Lukas
280,12,m,2013,11,Alexander
281,12,m,2013,12,Felix
282,12,m,2013,13,Mats
283,11,m,2013,14,Fynn
284,10,m,2013,15,Moritz
285,10,m,2013,16,Nick
286,9,m,2013,17,Julian
287,9,m,2013,18,Leonard
288,9,m,2013,19,Luca
289,9,m,2013,20,Max
290,9,m,2013,21,Ole
291,9,m,2013,22,Tom
292,8,m,2013,23,Anton
293,8,m,2013,24,Joel
294,8,m,2013,25,Leo
295,8,m,2013,26,Liam
296,8,m,2013,27,Luis
297,8,m,2013,28,Nico
298,8,m,2013,29,Tim
299,7,m,2013,30,Ali
300,35,w,2014,1,Marie
301,30,w,2014,2,Sophie
302,27,w,2014,3,Emilia
303,25,w,2014,4,Mia
304,22,w,2014,5,Emma
305,18,w,2014,6,Lena
306,18,w,2014,7,Maria
307,18,w,2014,8,Mila
308,13,w,2014,9,Luisa
309,13,w,2014,10,Marlene
310,12,w,2014,11,Amelie
311,12,w,2014,12,Emily
312,12,w,2014,13,Lina
313,12,w,2014,14,Nele
314,11,w,2014,15,Sophia
315,10,w,2014,16,Johanna
316,9,w,2014,17,Greta
317,9,w,2014,18,Lotta
318,9,w,2014,19,Sofia
319,7,w,2014,20,Alina
320,7,w,2014,21,Anna
321,7,w,2014,22,Elif
322,7,w,2014,23,Jana
323,7,w,2014,24,Laura
324,7,w,2014,25,Leni
325,7,w,2014,26,Pia
326,6,w,2014,27,Amalia
327,6,w,2014,28,Charlotte
328,6,w,2014,29,Elisabeth
329,6,w,2014,30,Franziska
330,32,m,2014,1,Alexander
331,23,m,2014,2,Elias
332,23,m,2014,3,Maximilian
333,22,m,2014,4,Ben
334,22,m,2014,5,Luca
335,19,m,2014,6,Jonas
336,18,m,2014,7,Felix
337,17,m,2014,8,Paul
338,16,m,2014,9,Leon
339,16,m,2014,10,Noah
340,13,m,2014,11,Louis
341,12,m,2014,12,Finn
342,12,m,2014,13,Max
343,11,m,2014,14,Julian
344,11,m,2014,15,Mats
345,10,m,2014,16,Jakob
346,10,m,2014,17,Jan
347,10,m,2014,18,Joel
348,10,m,2014,19,Tim
349,9,m,2014,20,Emil
350,9,m,2014,21,Henri
351,9,m,2014,22,Samuel
352,9,m,2014,23,Tom
353,8,m,2014,24,John
354,8,m,2014,25,Linus
355,8,m,2014,26,Noel
356,7,m,2014,27,Ali
357,7,m,2014,28,Anton
358,7,m,2014,29,Johannes
359,7,m,2014,30,Liam
360,35,w,2015,1,Marie
361,30,w,2015,2,Sophie
362,27,w,2015,3,Emilia
363,25,w,2015,4,Mia
364,22,w,2015,5,Emma
365,18,w,2015,6,Lena
366,18,w,2015,7,Maria
367,18,w,2015,8,Mila
368,13,w,2015,9,Luisa
369,13,w,2015,10,Marlene
370,12,w,2015,11,Amelie
371,12,w,2015,12,Emily
372,12,w,2015,13,Lina
373,12,w,2015,14,Nele
374,11,w,2015,15,Sophia
375,10,w,2015,16,Johanna
376,9,w,2015,17,Greta
377,9,w,2015,18,Lotta
378,9,w,2015,19,Sofia
379,7,w,2015,20,Alina
380,7,w,2015,21,Anna
381,7,w,2015,22,Elif
382,7,w,2015,23,Jana
383,7,w,2015,24,Laura
384,7,w,2015,25,Leni
385,7,w,2015,26,Pia
386,6,w,2015,27,Amalia
387,6,w,2015,28,Charlotte
388,6,w,2015,29,Elisabeth
389,6,w,2015,30,Franziska
390,32,m,2015,1,Alexander
391,23,m,2015,2,Elias
392,23,m,2015,3,Maximilian
393,22,m,2015,4,Ben
394,22,m,2015,5,Luca
395,19,m,2015,6,Jonas
396,18,m,2015,7,Felix
397,17,m,2015,8,Paul
398,16,m,2015,9,Leon
399,16,m,2015,10,Noah
400,13,m,2015,11,Louis
401,12,m,2015,12,Finn
402,12,m,2015,13,Max
403,11,m,2015,14,Julian
404,11,m,2015,15,Mats
405,10,m,2015,16,Jakob
406,10,m,2015,17,Jan
407,10,m,2015,18,Joel
408,10,m,2015,19,Tim
409,9,m,2015,20,Emil
410,9,m,2015,21,Henri
411,9,m,2015,22,Samuel
412,9,m,2015,23,Tom
413,8,m,2015,24,John
414,8,m,2015,25,Linus
415,8,m,2015,26,Noel
416,7,m,2015,27,Ali
417,7,m,2015,28,Anton
418,7,m,2015,29,Johannes
419,7,m,2015,30,Liam
